,County,Donald TrumpRepublican,Donald TrumpRepublican,Joe BidenDemocratic,Joe BidenDemocratic,Jo JorgensenLibertarian,Jo JorgensenLibertarian,Howie HawkinsGreen,Howie HawkinsGreen,Other votes,Other votes,Totalvotes
,County,%,#,%,#,%,#,%,#,%,#,Totalvotes
243,Wilbarger,77.90%,3524,21.13%,956,0.73%,33,0.24%,11,0.00%,0,4524
244,Willacy,43.99%,2441,56.01%,3108,0.00%,0,0.00%,0,0.00%,0,5549
245,Williamson,48.15%,139729,49.56%,143795,1.72%,4998,0.27%,790,0.30%,856,290168
246,Wilson,73.76%,18463,25.37%,6350,0.60%,151,0.16%,39,0.11%,29,25032
247,Winkler,82.46%,1753,16.84%,358,0.66%,14,0.05%,1,0.00%,0,2126
248,Wise,83.52%,27032,15.37%,4973,0.96%,310,0.15%,47,0.01%,3,32365
249,Wood,83.63%,19049,15.40%,3509,0.77%,175,0.18%,40,0.02%,6,22779
250,Yoakum,82.63%,2174,15.96%,420,1.18%,31,0.23%,6,0.00%,0,2631
251,Young,86.30%,7110,12.55%,1034,0.92%,76,0.22%,18,0.01%,1,8239
252,Zapata,52.48%,2033,47.13%,1826,0.28%,11,0.10%,4,0.00%,0,3874
253,Zavala,34.03%,1490,65.40%,2864,0.30%,13,0.27%,12,0.00%,0,4379
